city,primary_category,secondary_category,shop_name,avg_price,review_count,rating
深圳市,美食,自助餐,浅锅和牛小锅放题·寿喜烧(平安金融中心店),311,4253,4.5
深圳市,美食,自助餐,大渔臻选·棠膳(领展中心城店),229,8566,3.5
深圳市,美食,自助餐,悟能八戒自助鲜切烤牛肉(华强北店),79,8745,4.5
深圳市,美食,自助餐,古鲁特现切烤肉自助(深圳西丽益田店),72,790,4.0
深圳市,美食,自助餐,星璞全日餐厅(深铁皇冠假日酒店),193,2549,4.5
深圳市,美食,自助餐,无忧蜜栈·甜品自助·57楼高空(福田店),61,370,3.5
深圳市,美食,自助餐,悦餐厅·自助餐厅·深圳国际会展中心洲际酒店,201,769,5.0
深圳市,美食,自助餐,喜井无限自助烤肉公司(盐田壹海城店),73,3458,4.0
深圳市,美食,自助餐,姜胖胖韩式自助烤肉(光明万达店),81,8894,4.5
深圳市,美食,自助餐,喜井无限自助烤肉公司(星河ico店),73,2851,4.5
深圳市,美食,自助餐,欢乐牧场主题自助料理(龙岗万达店),130,12922,4.5
深圳市,美食,自助餐,浅锅和牛小锅放题·寿喜烧(龙岗万科广场店),120,2872,4.5
深圳市,美食,自助餐,素满香·全民食养自助(福田金中环店),29,1841,4.0
深圳市,美食,自助餐,知味自助餐厅·深圳益田威斯汀酒店,194,3340,4.0
深圳市,美食,自助餐,友记卜卜贝·海鲜放题火锅(龙岗世贸店),108,1776,5.0
深圳市,美食,自助餐,欢乐牧场主题自助料理(龙华星河iCO店),133,17297,4.0
深圳市,美食,自助餐,全希·鲜蚝自助(光明万达店),108,2947,4.5
深圳市,美食,自助餐,豹豹私房火锅(侨城坊店),280,196,5.0
深圳市,美食,自助餐,喜庭海鲜自助(深圳万丰海岸城店),160,4876,4.0
深圳市,美食,自助餐,大渔铁板烧(东海缤纷天地店),218,3460,3.5
深圳市,美食,自助餐,烟火码头·海鲜Bazaar自助(东门步行街店),163,6475,4.0
深圳市,美食,自助餐,333齐齐哈尔·自助烤肉(红岭店),142,2192,4.5
深圳市,美食,自助餐,博林天瑞喜来登酒店·西丽尚膳,322,4020,5.0
深圳市,美食,自助餐,林真真牛肋条放题(深圳旗舰店),69,995,4.5
深圳市,美食,自助餐,李东顺·朝鲜族自助烤肉臻选店,87,917,4.0
深圳市,美食,自助餐,大渔铁板烧(龙岗万科广场店),221,2936,3.5
深圳市,美食,自助餐,万有环球美食百汇(万象食家店),200,4130,4.0
深圳市,美食,自助餐,汉阳廷自助烤肉(坪山益田假日店),79,1183,4.5
深圳市,美食,自助餐,怡聚轩全日制自助餐厅(大中华喜来登酒店),169,7185,4.0
深圳市,美食,自助餐,何怼怼·自助烧烤工厂(下水径店),72,191,4.0
深圳市,美食,自助餐,深圳四季酒店·馥自助餐厅,385,2663,4.0
